asin,title,categoryName,price,boughtInLastMonth,stars,isBestSeller
34229,Proline Men Grey Comfort Fit Polo T-shirt,Tshirts,2185.43,232,4.6,TRUE
21589,Nabaiji Women Solid Black Swimsuit,Swimwear,4778.21,913,4.4,FALSE
5232,Classic Polo Men's Cari Maroon Polo T-shirt,Tshirts,3793.97,597,4.9,TRUE
11370,United Colors Of Benetton Women Light Wintersweat Green Sweatshirts,Sweatshirts,3193.96,931,4.7,TRUE
14156,Belmonte Men Bright Assorted Steel Cufflinks,Cufflinks,1202.08,86,4.6,TRUE
24393,Folklore Women Red Printed Kurta,Kurtas,1201.98,63,3.5,FALSE
56492,Streetwear Quick Dry Glassy Gloss Nail Polish 14,Nail Polish,761.38,972,4.1,FALSE
21307,Celine Dion Women Cream Frame Sunglasses,Sunglasses,4397.79,684,4.4,FALSE
17899,Nike Men Casual Black Jacket,Jackets,3205.02,644,4.3,FALSE
53679,Kiara Women Pink Handbag,Handbags,3686.33,208,4,FALSE
20600,Baggit Women Curls Hoor Red Handbag,Handbags,592.63,543,3.7,FALSE
44647,Arrow Woman Navy Blue Top,Tops,4864.59,378,4.3,FALSE
19083,W Women Flower Off White Kurta,Kurtas,4245.99,663,3.9,FALSE
13978,Puma Men Wirko White Casual Shoes,Casual Shoes,1455.53,898,3.8,FALSE
52204,Lencia Sterling Silver Pendant,Pendant,1318.21,132,4.1,FALSE
3451,ADIDAS Men's Delhi Daredevils Graphic White T-shirt,Tshirts,1325.32,605,4.7,TRUE
29063,Converse Unisex Navy Blue White Casual Shoes,Casual Shoes,1869.09,629,4.2,FALSE
50172,Rocia Women Multi- Coloured Shoes,Flats,2861.4,609,3.8,FALSE
44384,Spinz Women Enchante Deo,Deodorant,2443.75,618,3.7,FALSE
4160,Inkfruit Women's Think Green White T-shirt,Tshirts,1810.53,636,4.2,FALSE
38309,Reid & Taylor Men Black Scarf,Scarves,3253.34,71,4.7,TRUE
43880,Puma Men Navy Blue Contest Lo Shoes,Casual Shoes,1127.72,181,4.5,FALSE
38522,Puma Men White Surge Casual Shoes,Casual Shoes,1814.65,514,3.8,FALSE
19923,Wrangler Women Printed White T-shirt,Tshirts,2148.63,505,4.2,FALSE
44801,Spykar Women Grey Printed Top,Tops,2552.31,351,4.8,TRUE
